fecha,temp_max,temp_min,precipitacion
2025-01-01,10.2,1.5,0.0
2025-01-02,10.2,1.3,0.0
2025-01-03,9.0,1.0,0.0
2025-01-04,7.3,3.2,0.0
2025-01-05,10.4,5.2,1.7
2025-01-06,11.1,5.8,0.0
2025-01-07,8.6,3.1,0.0
2025-01-08,11.5,7.5,1.6
2025-01-09,13.5,8.6,0.0
2025-01-10,13.5,6.9,0.0
2025-01-11,18.9,9.9,0.0
2025-01-12,14.0,5.0,0.0
2025-01-13,11.4,-0.4,0.0
2025-01-14,10.6,0.8,0.0
2025-01-15,10.2,-1.5,0.0
2025-01-16,12.4,-0.3,0.0
2025-01-17,10.6,3.0,0.0
2025-01-18,9.7,0.4,0.0
2025-01-19,9.6,-0.1,0.4
2025-01-20,6.5,4.3,8.9
2025-01-21,11.0,6.0,8.9
2025-01-22,12.2,8.9,6.4
2025-01-23,14.0,8.8,0.6
2025-01-24,13.3,10.0,0.1
2025-01-25,11.4,7.5,0.8
2025-01-26,12.2,5.4,5.2
2025-01-27,14.5,6.2,1.4
2025-01-28,10.3,4.8,0.0
2025-01-29,8.0,4.3,7.5
2025-01-30,11.5,3.3,0.0
2025-01-31,10.2,1.7,0.0
2025-02-01,11.6,1.5,0.0
2025-02-02,10.5,2.0,0.0
2025-02-03,11.3,3.2,0.0
2025-02-04,12.7,2.4,0.0
2025-02-05,14.0,2.2,0.0
2025-02-06,12.5,1.9,0.0
2025-02-07,8.6,1.2,7.6
2025-02-08,11.4,3.0,0.0
2025-02-09,13.2,3.3,0.0
2025-02-10,13.5,7.4,0.0
2025-02-11,13.3,5.6,16.3
2025-02-12,13.6,7.3,0.0
2025-02-13,14.4,3.9,0.0
2025-02-14,15.9,5.8,0.0
2025-02-15,15.5,6.2,0.0
2025-02-16,17.9,6.2,0.0
2025-02-17,14.9,5.7,0.0
2025-02-18,17.0,8.3,0.0
2025-02-19,16.2,8.5,0.0
2025-02-20,16.9,6.1,0.0
2025-02-21,16.3,8.2,0.5
2025-02-22,14.6,6.9,0.0
2025-02-23,15.4,4.7,0.0
2025-02-24,15.2,5.4,0.0
2025-02-25,13.9,7.1,0.0
2025-02-26,13.2,3.7,0.0
2025-02-27,13.5,5.3,1.9
2025-02-28,16.0,6.1,2.0
2025-03-01,10.8,4.0,12.0
2025-03-02,4.9,2.5,17.6
2025-03-03,10.4,4.9,14.3
2025-03-04,14.0,7.5,2.1
2025-03-05,13.0,8.5,4.4
2025-03-06,13.2,8.5,16.1
2025-03-07,12.0,8.7,21.9
2025-03-08,11.2,5.7,13.8
2025-03-09,10.3,4.1,3.6
2025-03-10,11.5,5.8,23.5
2025-03-11,10.6,6.2,7.5
2025-03-12,12.8,4.2,0.0
2025-03-13,11.6,4.3,4.7
2025-03-14,10.4,4.1,0.0
2025-03-15,10.6,1.1,6.7
2025-03-16,11.6,4.1,0.4
2025-03-17,9.4,4.2,16.7
2025-03-18,11.4,6.2,20.9
2025-03-19,16.6,8.1,0.0
2025-03-20,16.1,9.3,27.6
2025-03-21,11.8,6.3,14.5
2025-03-22,10.9,5.0,2.3
2025-03-23,12.3,3.8,0.0
2025-03-24,14.0,4.3,4.8
2025-03-25,15.9,6.2,0.0
2025-03-26,15.2,5.2,0.0
2025-03-27,16.1,4.3,0.0
2025-03-28,18.4,6.2,0.0
2025-03-29,19.3,6.2,0.0
2025-03-30,20.9,4.2,0.0
2025-03-31,24.7,9.1,0.0
2025-04-01,23.7,10.1,0.0
2025-04-02,18.8,10.3,21.9
2025-04-03,10.7,8.3,20.2
2025-04-04,16.2,8.4,12.7
2025-04-05,16.5,8.2,0.0
2025-04-06,19.3,8.8,0.0
2025-04-07,22.8,8.8,0.0
2025-04-08,24.9,11.0,0.0
2025-04-09,24.6,12.6,0.0
2025-04-10,23.5,13.0,0.0
2025-04-11,15.7,10.7,11.3
2025-04-12,16.7,10.8,4.5
2025-04-13,17.9,11.7,3.6
2025-04-14,16.9,9.7,4.9
2025-04-15,11.5,6.2,0.0
2025-04-16,12.9,5.2,2.8
2025-04-17,19.3,6.2,0.0
2025-04-18,18.9,9.4,12.7
2025-04-19,13.2,5.8,4.8
2025-04-20,16.2,6.2,0.0
2025-04-21,19.0,7.5,0.9
2025-04-22,18.9,10.6,0.0
2025-04-23,22.4,8.6,0.0
2025-04-24,26.2,12.1,0.0
2025-04-25,26.8,13.2,0.0
2025-04-26,21.6,11.8,0.0
2025-04-27,21.4,9.0,0.0
2025-04-28,23.5,10.7,0.0
2025-04-29,22.3,11.8,0.0
2025-04-30,20.5,11.4,5.3
2025-05-01,21.7,11.7,22.7
2025-05-02,19.5,10.5,13.6
2025-05-03,20.4,11.2,0.9
2025-05-04,16.6,11.5,2.8
2025-05-05,17.2,10.3,19.4
2025-05-06,17.3,8.3,0.0
2025-05-07,19.9,8.2,0.2
2025-05-08,16.9,11.6,1.4
2025-05-09,18.3,9.0,1.9
2025-05-10,18.3,11.5,0.2
2025-05-11,19.3,7.3,0.0
2025-05-12,20.1,8.1,0.0
2025-05-13,21.5,9.5,4.3
2025-05-14,21.9,10.9,6.3
2025-05-15,19.7,11.1,1.5
2025-05-16,23.2,11.0,0.0
2025-05-17,24.8,12.5,0.0
2025-05-18,27.7,13.9,0.0
2025-05-19,20.3,12.5,2.0
2025-05-20,23.1,11.2,0.0
2025-05-21,26.1,12.5,0.0
2025-05-22,23.1,13.7,0.0
2025-05-23,23.7,10.7,0.0
2025-05-24,26.0,11.5,0.0
2025-05-25,29.4,13.9,0.0
2025-05-26,30.0,17.0,0.0
2025-05-27,30.5,17.2,0.0
2025-05-28,32.4,18.0,0.0
2025-05-29,33.1,20.2,0.0
2025-05-30,34.4,20.3,0.0
2025-05-31,34.3,19.8,0.0
2025-06-01,33.7,20.1,0.0
2025-06-02,31.8,20.6,0.0
2025-06-03,25.7,17.4,0.1
2025-06-04,25.5,14.6,0.0
