fecha,temp_max_predicha
2025-08-07,38.1
2025-08-08,38.0
2025-08-09,38.0
2025-08-10,38.0
2025-08-11,38.9
2025-08-12,39.5
2025-08-13,37.5
2025-08-14,37.8
2025-08-15,38.8
2025-08-16,39.6
2025-08-17,39.5
2025-08-18,35.4
2025-08-19,33.5
2025-08-20,29.7
2025-08-21,29.7
2025-08-22,31.2
2025-08-23,32.6
2025-08-24,34.2
2025-08-25,33.5
2025-08-26,35.5
2025-08-27,34.5
2025-08-28,28.2
2025-08-29,28.2
2025-08-30,32.3
2025-08-31,28.8
2025-09-01,23.8
2025-09-02,26.7
2025-09-03,30.1
2025-09-04,30.3
2025-09-05,31.3
2025-09-06,32.1
2025-09-07,28.9
2025-09-08,28.4
2025-09-09,28.5
2025-09-10,25.9
2025-09-11,29.3
2025-09-12,30.1
2025-09-13,30.0
2025-09-14,29.8
2025-09-15,32.3
2025-09-16,34.0
2025-09-17,34.2
2025-09-18,34.2
2025-09-19,32.9
2025-09-20,31.8
2025-09-21,25.8
2025-09-22,21.1
2025-09-23,21.1
2025-09-24,19.9
2025-09-25,22.6
2025-09-26,25.3
2025-09-27,25.4
2025-09-28,22.8
2025-09-29,25.2
2025-09-30,23.7
2025-10-01,26.8
2025-10-02,27.1
2025-10-03,27.7
2025-10-04,29.2
2025-10-05,23.7
2025-10-06,24.8
2025-10-07,26.5
2025-10-08,27.5
2025-10-09,25.6
2025-10-10,22.6
2025-10-11,23.9
2025-10-12,22.9
2025-10-13,22.9
2025-10-14,22.8
2025-10-15,24.5
2025-10-16,23.1
2025-10-17,23.4
2025-10-18,23.6
2025-10-19,21.9
2025-10-20,22.4
2025-10-21,22.1
2025-10-22,22.4
2025-10-23,22.9
2025-10-24,21.4
2025-10-25,22.4
2025-10-26,18.4
2025-10-27,16.7
2025-10-28,18.3
2025-10-29,16.2
2025-10-30,17.9
2025-10-31,16.4
2025-11-01,18.0
2025-11-02,17.9
2025-11-03,16.8
2025-11-04,17.9
2025-11-05,16.3
2025-11-06,13.7
2025-11-07,12.2
2025-11-08,14.3
2025-11-09,13.2
2025-11-10,14.0
2025-11-11,15.3
2025-11-12,19.9
2025-11-13,17.3
2025-11-14,15.9
2025-11-15,12.7
2025-11-16,13.9
2025-11-17,13.5
2025-11-18,13.0
2025-11-19,10.5
2025-11-20,9.4
2025-11-21,8.4
2025-11-22,7.8
2025-11-23,10.5
2025-11-24,12.6
2025-11-25,11.1
2025-11-26,9.5
2025-11-27,11.3
2025-11-28,11.2
2025-11-29,10.0
2025-11-30,11.3
2025-12-01,9.7
2025-12-02,10.1
2025-12-03,8.8
2025-12-04,11.0
2025-12-05,11.2
2025-12-06,14.4
2025-12-07,13.9
2025-12-08,10.8
2025-12-09,11.5
2025-12-10,11.7
2025-12-11,11.4
2025-12-12,11.7
2025-12-13,11.9
2025-12-14,11.7
2025-12-15,11.6
2025-12-16,10.5
2025-12-17,13.7
2025-12-18,10.8
2025-12-19,11.0
2025-12-20,8.6
2025-12-21,6.8
2025-12-22,7.7
2025-12-23,7.7
2025-12-24,9.3
2025-12-25,6.8
2025-12-26,7.5
2025-12-27,10.1
2025-12-28,9.6
2025-12-29,10.0
2025-12-30,9.3
2025-12-31,7.8
